数学系,毕惟红
航空航天学院,李铁风
数学系,汪国军
人文学院,沈玉
生物医学工程与仪器科学学院,夏灵
电气工程学院,应群民
医学院,李怡宁
公共体育与艺术部,陈烽
管理学院,郑刚
物理学系,罗孟波
生命科学学院,陈烨
生物系统工程与食品科学学院,沈生荣
医学院,张咸宁
计算机科学与技术学院,彭列平
外国语言文化与国际交流学院,郑惠卿
计算机科学与技术学院,孙凌云
外国语言文化与国际交流学院,国懿
外国语言文化与国际交流学院,宋云舟
农业与生物技术学院,吴媛媛
控制科学与工程学系,杨秦敏
人文学院,池长庆
地球科学系,王帮兵
外国语言文化与国际交流学院,洪钢
机械工程学系,何再兴
信息与电子工程学系,刘英
航空航天学院,朱林利
学生工作部,包爱民
信息与电子工程学系,赵颂平
管理学院,肖炜麟
离退休工作处,王庆文
公共体育与艺术部,张锐
心理与行为科学系,叶艳
能源工程学系,陈炯
环境与资源学院,翁小乐
材料科学与工程学系,郭兴忠
电气工程学院,黄民翔
控制科学与工程学系,王慧
生命科学学院,莫肖蓉
化学系,崔艳丽
物理学系,陶向明
机械工程学系,洪玉芳
经济学院,洪鑫
人文学院,尤淑君
化学工程与生物工程学系,胡晓萍
计算机科学与技术学院,刘玉生
数学系,姜海益
生命科学学院,程磊
经济学院,景乃权
心理与行为科学系,王慈
能源工程学系,池涌
管理学院,王求真
计算机科学与技术学院,白洪欢
数学系,汤树元
生命科学学院,徐程
外国语言文化与国际交流学院,汪运起
人文学院,陈健
光电信息工程学系,倪旭翔
农业与生物技术学院,沈朝栋
机械工程学系,顾临怡
外国语言文化与国际交流学院,隋红升
化学工程与生物工程学系,于洪巍
医学院,凌树才
建筑工程学院,金南国
思想政治理论教学科研部,万慧进
管理学院,王宏星
电气工程学院,李兴根
人文学院,汪超红
思想政治理论教学科研部,舒泽虎
能源工程学系,陆胜勇
化学系,吕德水
公共管理学院,张海峰
人文学院,高艳
外国语言文化与国际交流学院,梁君英
外国语言文化与国际交流学院,杜幸之
电气工程学院,沈建新
数学系,李松
传媒与国际文化学院,李杰
外国语言文化与国际交流学院,蒋景阳
医学院,卢韵碧
海洋学院,刘海江
公共管理学院,李静松
信息与电子工程学系,杜阳
医学院,胡薇薇
生命科学学院,汤海旸
人文学院,吴艳红
人文学院,肖如平
经济学院,周戈
农业与生物技术学院,吴殿星
公共管理学院,郭俊伟
农业与生物技术学院,姚洪渭
信息与电子工程学系,魏兴昌
思想政治理论教学科研部,张永华
数学系,张泽银
心理与行为科学系,张琳
计算机科学与技术学院,黄文山
建筑工程学院,郑卫
生物系统工程与食品科学学院,刘东红
心理与行为科学系,张琼
经济学院,朱秀君
管理学院,陈熹
化学工程与生物工程学系,徐国华
公共体育与艺术部,傅旭波
农业与生物技术学院,杨景华
机械工程学系,汪久根
生命科学学院,张铭
教育学院,陈昆福
就业指导与服务中心,林芝
医学院,王建安
控制科学与工程学系,张武明
物理学系,方明虎
公共体育与艺术部,柳志鹏
外国语言文化与国际交流学院,李俊敏
法学院,吴勇敏
经济学院,何嗣江
农业与生物技术学院,祝水金
经济学院,黄英
管理学院,张钢
公共体育与艺术部,赵丹丹
法学院,沈志坤
农业与生物技术学院,李桂新
传媒与国际文化学院,刘于思
外国语言文化与国际交流学院,Balanovskii Roman
传媒与国际文化学院,胡志毅
生物系统工程与食品科学学院,陆柏益
信息与电子工程学系,史笑兴
党委办公室、校长办公室,金滔
传媒与国际文化学院,丁苗苗
人文学院,王礼平
思想政治理论教学科研部,王心月
外国语言文化与国际交流学院,张璐
外国语言文化与国际交流学院,张向荣
经济学院,陈叶烽
机械工程学系,李玉良
电气工程学院,吴建德
教育学院,盛群力
传媒与国际文化学院,王玲玲
教育学院,叶映华
化学系,傅春玲
经济学院,钱彦敏
建筑工程学院,陈勇
化学系,刘占祥
物理学系,陈红雨
外国语言文化与国际交流学院,张惠芳
计算机科学与技术学院,姚青
化学工程与生物工程学系,宋锡瑾
管理学院,唐素萍
医学院,陈力
信息与电子工程学系,蔡云龙
人文学院,张德明
物理学系,何国光
医学院,包家立
外国语言文化与国际交流学院,沈燎
生命科学学院,丁平
药学院,袁弘
光电信息工程学系,张秀达
信息与电子工程学系,王维东
教育学院,李萌
计算机科学与技术学院,李明
教育学院,商丽浩
外国语言文化与国际交流学院,刘悦 
建筑工程学院,胡亚元
建筑工程学院,周永潮
外国语言文化与国际交流学院,汪洁
化学工程与生物工程学系,顾超华
教育学院,王莉华
高分子科学与工程学系,凌君
建筑工程学院,蔚芳
机械工程学系,姚斌
公共体育与艺术部,季守祥
数学系,单监华
控制科学与工程学系,陈剑
计算机科学与技术学院,王章野
数学系,盛为民
材料科学与工程学系,吴进明
建筑工程学院,国振
经济学院,杨高举
电气工程学院,孙晖
人文学院,楼含松
公共管理学院,顾丽玲
外国语言文化与国际交流学院,张兴奎
机械工程学系,孔晓武
经济学院,余林徽
海洋学院,齐家国
外国语言文化与国际交流学院,Aaron Kalman
材料科学与工程学系,杨德仁
建筑工程学院,傅慧俊
外国语言文化与国际交流学院,杨建平
外国语言文化与国际交流学院,李张林
国际教育学院,王明华
计算机科学与技术学院,董玮
外国语言文化与国际交流学院,孟筱敏
机械工程学系,陈芨熙
生物医学工程与仪器科学学院,王友钊
公共体育与艺术部,陈列
物理学系,谭明秋
数学系,冯涛
医学院,杨廷忠
外国语言文化与国际交流学院,阿尔素
学生工作部,李文腾
传媒与国际文化学院,郑西帆
法学院,陈旭琴
人文学院,胡可先
数学系,陈锦辉
物理学系,厉位阳
电气工程学院,朱晓雷
机械工程学系,周勇光
控制科学与工程学系,叶炜
生物医学工程与仪器科学学院,曾超
电气工程学院,杨强
外国语言文化与国际交流学院,张宏斌
航空航天学院,金仲和
经济学院,叶兵
外国语言文化与国际交流学院,助教2
农业与生物技术学院,叶恭银
化学系,蒋银土
传媒与国际文化学院,章宏
化学系,肖丽萍
计算机科学与技术学院,徐从富
国际教育学院,吴悦
经济学院,朱柏铭
材料科学与工程学系,涂江平
医学院,吴希美
材料科学与工程学系,杜丕一
社会科学研究院,白承镐
药学院,董晓武
航空航天学院,王惠明
公共体育与艺术部,周聪
建筑工程学院,赵华
教务处,刘向东
法学院,王凌皞
信息与电子工程学系,楼东武
管理学院,马弘
信息与电子工程学系,吴锡东
机械工程学系,陶国良
外国语言文化与国际交流学院,陈玮
机械工程学系,裘乐淼
物理学系,叶高翔
生物系统工程与食品科学学院,何勇
教育学院,吴建绍
计算机科学与技术学院,孟炳泉
物理学系,马志为
生物医学工程与仪器科学学院,汤守健
电气工程学院,陈忠根
数学系,李俊杰
光电信息工程学系,王晓萍
人文学院,姚晓雷
建筑工程学院,陈秋晓
化学工程与生物工程学系,苏宝根
物理学系,冯波
经济学院,张雪芳
生命科学学院,毛传澡
公共管理学院,王诗宗
生命科学学院,应盛华
外国语言文化与国际交流学院,徐慧芳
公共管理学院,卓亨逵
化学工程与生物工程学系,郑津洋
数学系,李方
法学院,方立新
药学院,李新
农业与生物技术学院,李斌
信息与电子工程学系,李宇波
信息与电子工程学系,李春光
电气工程学院,童梅
电气工程学院,张冶沁
建筑工程学院,贺勇
动物科学学院,李卫芬
机械工程学系,傅新
法学院,季涛
人文学院,陈健梅
化学工程与生物工程学系,施耀
外国语言文化与国际交流学院,何莲珍
公共管理学院,李超平
生命科学学院,戈万忠
建筑工程学院,华晨
人文学院,朱晓罕
外国语言文化与国际交流学院,李德高
化学工程与生物工程学系,任其龙
高分子科学与工程学系,徐红
航空航天学院,孟华
经济学院,黄燕君
公共管理学院,李艳
思想政治理论教学科研部,梁清华
电气工程学院,王旃
生物系统工程与食品科学学院,陈素珊
人文学院,李旭平
生命科学学院,翁晓燕
机械工程学系,王晓莹
经济学院,夏瑛
思想政治理论教学科研部,陈志新
控制科学与工程学系,黄平捷
思想政治理论教学科研部,浦永春
控制科学与工程学系,刘山
管理学院,张惜丽
生物医学工程与仪器科学学院,刘清君
管理学院,郭毅
传媒与国际文化学院,赵瑜
外国语言文化与国际交流学院,李航
教育学院,成守彬
农业与生物技术学院,周杰
国际教育学院,陈佳宏
高分子科学与工程学系,王幽香
农业技术推广中心,廖敏
环境与资源学院,刘杏梅
信息与电子工程学系,金文光
能源工程学系,肖刚
地球科学系,汪波
思想政治理论教学科研部,廖亦宏
建筑工程学院,韩昊英
药学院,蒋惠娣
化学工程与生物工程学系,张才亮
航空航天学院,石兴
化学工程与生物工程学系,王成习
计算机科学与技术学院,方宁
医学院,那仁满都拉
农业试验站,金崇伟
人文学院,严建强
管理学院,车幼梅
公共管理学院,林融
人文学院,张凯
医学院,俞颖
电气工程学院,樊伟敏
机械工程学系,王正肖
外国语言文化与国际交流学院,王晓范
外国语言文化与国际交流学院,卢燕飞
农业与生物技术学院,柴明良
信息与电子工程学系,王子立
电气工程学院,汤巍松
控制科学与工程学系,周春琳
计算机科学与技术学院,杨颖
人文学院,刘国柱
生命科学学院,吕镇梅
人文学院,林晓光
传媒与国际文化学院,李东晓
医学院,李志勇
建筑工程学院,张燕
计算机科学与技术学院,邵健
生命科学学院,朱旭芬
化学系,陈卫祥
人文学院,沈坚
信息与电子工程学系,郝寅雷
高分子科学与工程学系,楼仁功
数学系,吴志祥
外国语言文化与国际交流学院,史烨婷
农业与生物技术学院,吴建祥
物理学系,王浩华
化学系,彭笑刚
物理学系,应和平
计算机科学与技术学院,徐镜春
公共管理学院,岳文泽
计算机科学与技术学院,沈睿
经济学院,康笛
思想政治理论教学科研部,马建青
生物医学工程与仪器科学学院,宁钢民
教育学院,祝怀新
建筑工程学院,亓萌
思想政治理论教学科研部,潘于旭
控制科学与工程学系,赵豫红
生物医学工程与仪器科学学院,蒋凯
公共管理学院,揭爱花
物理学系,杨波
计算机科学与技术学院,张彤或
思想政治理论教学科研部,傅夏仙
生命科学学院,王金福
生命科学学院,黄晓
人文学院,吴晓明
药学院,孙莲莉
外国语言文化与国际交流学院,周星
人文学院,郑霞
能源工程学系,周昊
医学院,朱心强
管理学院,金少胜
化学系,吴庆银
计算机科学与技术学院,周昆
外国语言文化与国际交流学院,潘洵
光电信息工程学系,童利民
建筑工程学院,浦欣成
化学系,张培敏
外国语言文化与国际交流学院,何文忠
光电信息工程学系,刘崇
化学系,黄飞鹤
外国语言文化与国际交流学院,林晓
经济学院,胡培战
公共体育与艺术部,韦俊芳
建筑工程学院,吴国强
农业与生物技术学院,高中山
经济学院,徐志
生命科学学院,赵云鹏
物理学系,李健民
化学系,谭桂娥
数学系,贾厚玉
经济学院,周黎明
生命科学学院,周耐明
数学系,叶兴德
建筑工程学院,邵煜
教育学院,苏建元
电气工程学院,郭瑞鹏
控制科学与工程学系,姜伟
国际教育学院,施虹
化学系,黄志真
机械工程学系,李立新
农业与生物技术学院,莫建初
公共体育与艺术部,朱晓龙
电气工程学院,陶雪梅
化学工程与生物工程学系,吴坚平
能源工程学系,陈坚红
电气工程学院,年珩
电气工程学院,张军明
农业技术推广中心,彭红云
环境与资源学院,朱利中
建筑工程学院,李王鸣
环境与资源学院,史惠祥
管理学院,邓明荣
人文学院,吴晓
经济学院,王志凯
医学院,丁世平
计算机科学与技术学院,李莹
医学院,李兰娟
生物系统工程与食品科学学院,丁甜
选培办,许磊
海洋学院,李莉
环境与资源学院,翁棣
外国语言文化与国际交流学院,周何法
研究生工作部,何俊杰
建筑工程学院,吴景
医学院,杜勤
国际教育学院,胡晓慧
物理学系,盛正卯
电气工程学院,楼珍丽
建筑工程学院,李聪
物理学系,潘佰良
信息与电子工程学系,刘鹏
环境与资源学院,赵和平
能源工程学系,张学军
外国语言文化与国际交流学院,徐春英
生命科学学院,杨建立
生物系统工程与食品科学学院,于勇
计算机科学与技术学院,童若锋
外国语言文化与国际交流学院,施旭
外国语言文化与国际交流学院,邵勇
人文学院,黄笑山
公共体育与艺术部,程路明
建筑工程学院,程鹏
建筑工程学院,赵阳
光电信息工程学系,刘玉玲
外国语言文化与国际交流学院,Philip
海洋学院,叶瑛
生物医学工程与仪器科学学院,杜一平
人文学院,林家骊
建筑工程学院,蔡金标
环境与资源学院,汪海珍
教育学院,周丽君
经济学院,蔡庆兵
党委办公室、校长办公室,罗建红
教育学院,温煦
建筑工程学院,祁巍锋
医学院,杜继曾
计算机科学与技术学院,叶德仕
机械工程学系,徐志农
外国语言文化与国际交流学院,叶小曼
信息与电子工程学系,张朝阳
光电信息工程学系,林斌
建筑工程学院,关富玲
计算机科学与技术学院,蔡亮
农业与生物技术学院,徐海明
化学系,方卫民
建筑工程学院,王杰
外国语言文化与国际交流学院,王海燕
化学系,孟祥举
农业与生物技术学院,喻景权
外国语言文化与国际交流学院,景敏言
能源工程学系,黄群星
机械工程学系,段桂芳
高分子科学与工程学系,宋义虎
外国语言文化与国际交流学院,鲍泓
物理学系,阮永红
生命科学学院,Chris
生命科学学院,毛旭明
建筑工程学院,王东辉
环境与资源学院,田光明
控制科学与工程学系,徐正国
药学院,何俏军
机械工程学系,汪延成
数学系,邹卫华
生命科学学院,吴敏
人文学院,汪维辉
经济学院,王义中
管理学院,邬爱其
数学系,王成波
管理学院,徐维东
化学系,朱岩
外国语言文化与国际交流学院,郑猛
经济学院,郑备军
人文学院,朱春秧
医学院,詹金彪
公共管理学院,许法根
公共管理学院,曹宇
建筑工程学院,汪劲丰
数学系,钱英
建筑工程学院,沈雁彬
教育学院,肖龙海
人文学院,胡小军
人文学院,陶磊
物理学系,王从健
教育学院,汪辉
高分子科学与工程学系,孙景志
数学系,薛儒英
学科建设处（与学位委员会办公室合署）,周天华
物理学系,陆璇辉
外国语言文化与国际交流学院,薛冉冉
管理学院,赵静
信息与电子工程学系,郑史烈
外国语言文化与国际交流学院,闵尚超
国际教育学院,黄灵红
经济学院,骆兴国
外国语言文化与国际交流学院,沈国琴
环境与资源学院,张丽萍
控制科学与工程学系,赵均
管理学院,陈随军
物理学系,袁辉球
医学院,方向明
生命科学学院,卢建平
化学工程与生物工程学系,卜志扬
生物系统工程与食品科学学院,应铁进
环境与资源学院,黄敬峰
航空航天学院,应祖光
环境与资源学院,刘维屏
法学院,何怀文
计算机科学与技术学院,外聘1
公共管理学院,陈建军
建筑工程学院,曹震宇
农业与生物技术学院,张云
生物系统工程与食品科学学院,蒋焕煜
高分子科学与工程学系,安全福
生命科学学院,金勇丰
外国语言文化与国际交流学院,吴宗杰
法学院,肖燕
地球科学系,汤燕冰
电气工程学院,卢琴芬
人事处,刘翔
信息与电子工程学系,孙斌
管理学院,韩洪云
建筑工程学院,刘翠
环境与资源学院,杨肖娥
光电信息工程学系,章岳光
建筑工程学院,王晖
人文学院,王云路
医学院,陈坤
人文学院,王春
农业与生物技术学院,孙崇德
人文学院,陈虹
心理与行为科学系,张智君
信息与电子工程学系,史治国
农业与生物技术学院,张敬泽
教育学院,姜海
经济学院,金祥荣
信息与电子工程学系,施红军
医学院,纪俊峰
数学系,唐炳康
建筑工程学院,祝丽丽
紫金港校区党工委（紫金港校区管理委员会）,陈飞
传媒与国际文化学院,王建刚
高分子科学与工程学系,倪旭峰
生物医学工程与仪器科学学院,黄轶伦
国际教育学院,陈磊
经济学院,徐加
理学院,沈宏
能源工程学系,余春江
农业与生物技术学院,尹燕妮
外国语言文化与国际交流学院,洪峥
建筑工程学院,方磊
经济学院,何樟勇
经济学院,许云华
公共管理学院,徐力
信息与电子工程学系,陈鹏飞
医学院,胡虎
人文学院,方一新
数学系,杨海涛
电气工程学院,方攸同
农业与生物技术学院,郭逸蓉
外国语言文化与国际交流学院,马瑾
环境与资源学院,王飞儿
心理与行为科学系,金卫华
国际教育学院,王飞焱
物理学系,阮晓声
人文学院,邹广胜
人文学院,陆敏珍
理学院,张帼奋
农业与生物技术学院,师恺
人文学院,陈振濂
外国语言文化与国际交流学院,安文英
信息与电子工程学系,胡浩基
外国语言文化与国际交流学院,王小潞
地球科学系,厉子龙
医学院,徐立红
计算机科学与技术学院,高云君
农业与生物技术学院,陆建良
数学系,李秉政
公共管理学院,杨遴杰
思想政治理论教学科研部,杨冀辰
人文学院,吴土法
农业与生物技术学院,马忠华
教育学院,王伯华
传媒与国际文化学院,叶琼丰
农业与生物技术学院,王岳飞
生命科学学院,管敏鑫
管理学院,陈明亮
管理学院,郭红东
数学系,董浙
思想政治理论教学科研部,陈小英
经济学院,韩菁
医学院,李仲杰
建筑工程学院,谢康和
化学系,陈志春
经济学院,柴效武
环境与资源学院,杨方星
信息与电子工程学系,钟财军
环境与资源学院,姚信
数学系,梁克维
电气工程学院,潘丽萍
建筑工程学院,沈佳轶
建筑工程学院,连铭
电气工程学院,范承志
医学院,朱善宽
经济学院,余燕春
心理与行为科学系,卫薇
农业与生物技术学院,卢钢
教育学院,高乃春
法学院,钟瑞庆
数学系,蔡天新
建筑工程学院,冉启华
机械工程学系,金逸峰
电气工程学院,杨家强
物理学系,吴惠桢
航空航天学院,宋广华
数学系,张南松
国际教育学院,李佳
能源工程学系,朱华
生物医学工程与仪器科学学院,郑筱祥
计算机科学与技术学院,郑林风
能源工程学系,钟崴
计算机科学与技术学院,黄敬华
外国语言文化与国际交流学院,丁光
外国语言文化与国际交流学院,丁展平
控制科学与工程学系,黄文君
外国语言文化与国际交流学院,金明
人文学院,朱大星
物理学系,罗民兴
数学系,王梦
地球科学系,柴登峰
数学系,张奕
农业技术推广中心,石伟勇
农业技术推广中心,罗琛
计算机科学与技术学院,章国锋
物理学系,赵道木
航空航天学院,鲍荣浩
光电信息工程学系,仇旻
学生工作部,邬小撑
农业技术推广中心,屠振力
机械工程学系,李伟
数学系,程晓良
机械工程学系,杨将新
能源工程学系,倪明江
人文学院,郭昊
生物系统工程与食品科学学院,盛奎川
外国语言文化与国际交流学院,Chamard
建筑工程学院,明焱
医学院,许毅
计算机科学与技术学院,陈奇
人文学院,丛杭青
建筑工程学院,汪均如
计算机科学与技术学院,庄越挺
医学院,胡申江
化学系,张子张
管理学院,杜红
环境与资源学院,张志剑
数学系,苏中根
化学工程与生物工程学系,叶向群
电气工程学院,潘再平
地球科学系,陆丽珍
农业技术推广中心,惠天朝
计算机科学与技术学院,冯晓霞
农业技术推广中心,朱炳全
化学工程与生物工程学系,林建平
思想政治理论教学科研部,任凭
计算机科学与技术学院,柴春雷
能源工程学系,何文华
海洋学院,冷建兴
机械工程学系,唐建中
思想政治理论教学科研部,林小芳
生命科学学院,管文军
公共体育与艺术部,郭虹
建筑工程学院,许进军
传媒与国际文化学院,胡晓云
人文学院,沈华清
农业试验站,黄冲平
外国语言文化与国际交流学院,阿莉塔
公共体育与艺术部,吕荷莉
外国语言文化与国际交流学院,袁靖
化学系,邵海波
公共体育与艺术部,刘剑
能源工程学系,罗坤
药学院,王毅
思想政治理论教学科研部,钟为民
电气工程学院,张德华
公共管理学院,王素芳
公共管理学院,李江
管理学院,张大亮
航空航天学院,陶伟明
人文学院,孙仲
医学院,欧阳宏伟
教育学院,刘淑华
能源工程学系,孙志坚
机械工程学系,邬义杰
管理学院,周歆红
公共管理学院,郁建兴
化学系,曹发和
药学院,陈柳蓉
建筑工程学院,张爱晖
建筑工程学院,秦中伏
生物系统工程与食品科学学院,刘湘江
数学系,张立新
计算机科学与技术学院,张引
农业与生物技术学院,金敏
建筑工程学院,金方
控制科学与工程学系,刘勇
人文学院,章雪富
建筑工程学院,饶传坤
心理与行为科学系,董一胜
国际教育学院,郑颖
